agegroup,ndeaths,nheroin,sex,year,hr,pop
Under 25,49,27,Males,2010,0.5510204081632653,782334
25-34,124,81,Males,2010,0.6532258064516129,324180
35-44,126,71,Males,2010,0.5634920634920635,361008
45-54,50,21,Males,2010,0.42,379781
55 and over,14,6,Males,2010,0.42857142857142855,700915
Under 25,16,6,Females,2010,0.375,759434
25-34,37,15,Females,2010,0.40540540540540543,334237
35-44,32,13,Females,2010,0.40625,382641
45-54,26,10,Females,2010,0.38461538461538464,397779
55 and over,11,4,Females,2010,0.36363636363636365,839891
Under 25,24,9,Males,2015,0.375,763575
25-34,118,81,Males,2015,0.6864406779661016,339665
35-44,170,101,Males,2015,0.5941176470588235,327841
45-54,122,54,Males,2015,0.4426229508196721,393537
55 and over,50,21,Males,2015,0.42,772120
Under 25,6,3,Females,2015,0.5,745248
25-34,45,20,Females,2015,0.4444444444444444,353022
35-44,79,27,Females,2015,0.34177215189873417,342692
45-54,61,20,Females,2015,0.32786885245901637,414639
55 and over,31,9,Females,2015,0.2903225806451613,898261
Under 25,62,33,Males,2020,0.532258064516129,746874
25-34,210,99,Males,2020,0.4714285714285714,341028
35-44,289,143,Males,2020,0.49480968858131485,324075
45-54,305,137,Males,2020,0.4491803278688525,364414
55 and over,107,50,Males,2020,0.4672897196261682,850229
Under 25,18,10,Females,2020,0.5555555555555556,726220
25-34,50,26,Females,2020,0.52,355512
35-44,129,53,Females,2020,0.4108527131782946,341465
45-54,114,39,Females,2020,0.34210526315789475,386844
55 and over,55,15,Females,2020,0.2727272727272727,972239
Under 25,24,9,Males,2024,0.375,756812
25-34,122,31,Males,2024,0.2540983606557377,353359
35-44,198,70,Males,2024,0.35353535353535354,350278
45-54,242,100,Males,2024,0.4132231404958678,332476
55 and over,113,34,Males,2024,0.3008849557522124,902235
Under 25,10,2,Females,2024,0.2,732623
25-34,41,8,Females,2024,0.1951219512195122,369150
35-44,103,30,Females,2024,0.2912621359223301,369091
45-54,101,19,Females,2024,0.18811881188118812,353482
55 and over,63,24,Females,2024,0.38095238095238093,1027394
