year,Sex,Age,convicted_population,offenders,reconvicted,reconvictions,prev_rate
2004,Female,21 to 25,49351,1650,576,1145,0.3490909090909091
2004,Female,26 to 30,49351,1268,420,786,0.3312302839116719
2004,Female,31 to 40,49351,2238,558,963,0.24932975871313673
2004,Female,over 40,49351,1198,212,361,0.17696160267111852
2004,Female,under 21,49351,1488,424,858,0.2849462365591398
2004,Male,21 to 25,49351,8941,3285,6330,0.3674085672743541
2004,Male,26 to 30,49351,6254,2175,4168,0.3477774224496322
2004,Male,31 to 40,49351,9833,2929,5024,0.29787450422048206
2004,Male,over 40,49351,6330,1235,2077,0.19510268562401265
2004,Male,under 21,49351,10151,4163,8393,0.4101073785833908
2005,Female,21 to 25,50343,1583,490,1056,0.30953885028427036
2005,Female,26 to 30,50343,1359,430,790,0.3164091243561442
2005,Female,31 to 40,50343,2180,523,867,0.23990825688073394
2005,Female,over 40,50343,1379,221,364,0.1602610587382161
2005,Female,under 21,50343,1625,465,849,0.28615384615384615
2005,Male,21 to 25,50343,9004,3232,6126,0.3589515770768547
2005,Male,26 to 30,50343,6233,2209,4066,0.35440397882239694
2005,Male,31 to 40,50343,9780,2890,5051,0.2955010224948875
2005,Male,over 40,50343,6705,1327,2174,0.19791200596569725
2005,Male,under 21,50343,10495,4546,8859,0.4331586469747499
2006,Female,21 to 25,53305,1658,525,1096,0.3166465621230398
2006,Female,26 to 30,53305,1369,442,767,0.32286340394448504
2006,Female,31 to 40,53305,2319,588,961,0.2535575679172057
2006,Female,over 40,53305,1505,264,465,0.17541528239202658
2006,Female,under 21,53305,1696,501,925,0.2954009433962264
2006,Male,21 to 25,53305,9582,3436,6366,0.3585890210811939
2006,Male,26 to 30,53305,6642,2339,4413,0.35215296597410417
2006,Male,31 to 40,53305,10321,3081,5392,0.2985175855052805
2006,Male,over 40,53305,7223,1442,2436,0.19964003876505607
2006,Male,under 21,53305,10990,4654,8995,0.42347588717015466
2007,Female,21 to 25,53044,1712,524,1080,0.3060747663551402
2007,Female,26 to 30,53044,1415,433,798,0.3060070671378092
2007,Female,31 to 40,53044,2235,562,966,0.25145413870246086
2007,Female,over 40,53044,1579,275,439,0.1741608613046232
2007,Female,under 21,53044,1727,498,920,0.28836132020845395
2007,Male,21 to 25,53044,9424,3292,5936,0.349320882852292
2007,Male,26 to 30,53044,6837,2337,4374,0.3418165862220272
2007,Male,31 to 40,53044,9961,2922,5282,0.2933440417628752
2007,Male,over 40,53044,7478,1492,2570,0.19951858785771598
2007,Male,under 21,53044,10676,4237,8020,0.39687148744848255
2008,Female,21 to 25,49665,1555,454,992,0.2919614147909968
2008,Female,26 to 30,49665,1419,460,921,0.32417195207892885
2008,Female,31 to 40,49665,2106,564,1096,0.2678062678062678
2008,Female,over 40,49665,1630,284,537,0.17423312883435582
2008,Female,under 21,49665,1524,419,803,0.27493438320209973
2008,Male,21 to 25,49665,8550,3003,5571,0.3512280701754386
2008,Male,26 to 30,49665,6570,2330,4549,0.3546423135464231
2008,Male,31 to 40,49665,9532,2951,5563,0.30958875367184224
2008,Male,over 40,49665,7546,1530,2681,0.20275642724622317
2008,Male,under 21,49665,9233,3658,6969,0.39618758799956677
2009,Female,21 to 25,47416,1489,413,787,0.277367360644728
2009,Female,26 to 30,47416,1395,440,867,0.3154121863799283
2009,Female,31 to 40,47416,2098,524,942,0.24976167778836988
2009,Female,over 40,47416,1690,276,542,0.16331360946745563
2009,Female,under 21,47416,1342,354,654,0.2637853949329359
2009,Male,21 to 25,47416,8320,2888,5165,0.3471153846153846
2009,Male,26 to 30,47416,6496,2154,4055,0.33158866995073893
2009,Male,31 to 40,47416,9121,2875,5243,0.31520666593575264
2009,Male,over 40,47416,7482,1489,2633,0.19901095963646084
2009,Male,under 21,47416,7983,3078,5651,0.3855693348365276
2010,Female,21 to 25,44707,1399,388,753,0.2773409578270193
2010,Female,26 to 30,44707,1310,389,785,0.2969465648854962
2010,Female,31 to 40,44707,2120,488,885,0.23018867924528302
2010,Female,over 40,44707,1699,285,491,0.16774573278399058
2010,Female,under 21,44707,1191,293,562,0.24601175482787574
2010,Male,21 to 25,44707,7602,2570,4591,0.3380689292291502
2010,Male,26 to 30,44707,6174,2121,4084,0.3435374149659864
2010,Male,31 to 40,44707,8721,2747,5073,0.31498681343882584
2010,Male,over 40,44707,7443,1518,2657,0.20395002015316405
2010,Male,under 21,44707,7048,2679,4842,0.3801078320090806
2011,Female,21 to 25,43819,1268,329,637,0.25946372239747634
2011,Female,26 to 30,43819,1307,385,804,0.29456771231828616
2011,Female,31 to 40,43819,2051,539,990,0.2627986348122867
2011,Female,over 40,43819,1678,265,481,0.15792610250297973
2011,Female,under 21,43819,1086,263,490,0.2421731123388582
2011,Male,21 to 25,43819,7619,2439,4243,0.3201207507546922
2011,Male,26 to 30,43819,6123,2053,3938,0.3352931569492079
2011,Male,31 to 40,43819,8749,2774,5348,0.31706480740656073
2011,Male,over 40,43819,7594,1603,2818,0.21108770081643402
2011,Male,under 21,43819,6344,2333,4173,0.3677490542244641
2012,Female,21 to 25,41695,1253,319,606,0.25458898643256184
2012,Female,26 to 30,41695,1236,350,753,0.28317152103559873
2012,Female,31 to 40,41695,1944,502,936,0.25823045267489714
2012,Female,over 40,41695,1712,293,514,0.1711448598130841
2012,Female,under 21,41695,895,219,389,0.2446927374301676
2012,Male,21 to 25,41695,7145,2281,3870,0.3192442267319804
2012,Male,26 to 30,41695,6175,1984,3632,0.32129554655870446
2012,Male,31 to 40,41695,8629,2692,5217,0.31197125970564377
2012,Male,over 40,41695,7511,1613,2883,0.2147516975103182
2012,Male,under 21,41695,5195,1814,3178,0.3491819056785371
2013,Female,21 to 25,42177,1221,281,526,0.23013923013923013
2013,Female,26 to 30,42177,1203,343,668,0.28512053200332504
2013,Female,31 to 40,42177,2076,526,1039,0.25337186897880537
2013,Female,over 40,42177,1917,335,633,0.17475221700573812
2013,Female,under 21,42177,769,190,343,0.247074122236671
2013,Male,21 to 25,42177,7067,2166,3640,0.3064949766520447
2013,Male,26 to 30,42177,6010,1909,3472,0.31763727121464225
2013,Male,31 to 40,42177,8960,2837,5382,0.3166294642857143
2013,Male,over 40,42177,8336,1788,3250,0.21449136276391556
2013,Male,under 21,42177,4618,1656,2995,0.35859679514941534
2014,Female,21 to 25,43614,1178,288,544,0.24448217317487267
2014,Female,26 to 30,43614,1266,338,638,0.2669826224328594
2014,Female,31 to 40,43614,2161,584,1166,0.27024525682554373
2014,Female,over 40,43614,2102,373,644,0.1774500475737393
2014,Female,under 21,43614,770,186,381,0.24155844155844156
2014,Male,21 to 25,43614,6945,2125,3609,0.30597552195824335
2014,Male,26 to 30,43614,6188,1908,3327,0.308338720103426
2014,Male,31 to 40,43614,9371,2927,5367,0.312346601216519
2014,Male,over 40,43614,9252,1999,3398,0.21606139213143105
2014,Male,under 21,43614,4381,1642,2964,0.3748002739100662
2015,Female,21 to 25,44051,1188,249,457,0.20959595959595959
2015,Female,26 to 30,44051,1317,310,609,0.23538344722854973
2015,Female,31 to 40,44051,2261,600,1137,0.26536930561698363
2015,Female,over 40,44051,2224,407,702,0.18300359712230216
2015,Female,under 21,44051,743,187,332,0.25168236877523553
2015,Male,21 to 25,44051,6685,1992,3294,0.2979805534779357
2015,Male,26 to 30,44051,6250,1889,3223,0.30224
2015,Male,31 to 40,44051,9601,2912,5284,0.3033017394021456
2015,Male,over 40,44051,9595,1992,3430,0.20760812923397604
2015,Male,under 21,44051,4187,1465,2651,0.349892524480535
2016,Female,21 to 25,40606,1019,224,373,0.2198233562315996
2016,Female,26 to 30,40606,1140,287,573,0.2517543859649123
2016,Female,31 to 40,40606,2223,611,1172,0.27485380116959063
2016,Female,over 40,40606,2129,386,668,0.18130577736026304
2016,Female,under 21,40606,660,160,273,0.24242424242424243
2016,Male,21 to 25,40606,5882,1820,2995,0.3094185651139068
2016,Male,26 to 30,40606,5778,1737,2930,0.30062305295950154
2016,Male,31 to 40,40606,8999,2721,4840,0.302366929658851
2016,Male,over 40,40606,9096,1851,3191,0.20349604221635884
2016,Male,under 21,40606,3680,1238,2304,0.33641304347826084
