year,pop,recycled,landfilled,diverted,totalwaste
2011,5299900,1032156,1453789,120688,2606633
2012,5308200,1015021,1382153,99821,2496995
2013,5316800,1002840,1290829,119861,2413530
2014,5331400,1054208,1212479,192179,2458865
2015,5350600,1089407,1150537,228541,2468485
2016,5373600,1125938,1131806,240772,2498516
2017,5388200,1121683,1106959,231423,2460065
2018,5392100,1075960,1031467,297074,2404501
2019,5411200,1087997,758141,575071,2421209
2020,5408900,1023063,659406,745017,2427487
2021,5412900,1067599,663140,750781,2481520
2022,5447000,1012045,585461,736277,2333783
