Year,Area Name,All ages,Not Stated,0 up to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 and over
1991,Scotland,"67,024",103,"5,523","16,723","24,163","15,206","4,589",717
1991,Aberdeen City,"2,697",1,200,617,985,665,202,27
1991,Aberdeenshire,"2,918",3,156,696,"1,131",706,185,41
1991,Angus,"1,336",0,115,346,507,283,79,6
1991,Argyll and Bute,"1,220",2,90,311,415,291,98,13
1991,City of Edinburgh,"5,671",1,378,"1,141","1,938","1,612",517,84
1991,Clackmannanshire,663,0,65,186,248,117,41,6
1991,Dumfries and Galloway,"1,781",2,135,488,668,360,107,21
1991,Dundee City,"2,017",0,207,628,655,392,109,26
1991,East Ayrshire,"1,727",4,199,512,582,326,90,14
1991,East Dunbartonshire,"1,370",0,53,178,511,444,164,20
1991,East Lothian,"1,113",0,76,250,402,294,80,11
1991,East Renfrewshire,"1,123",2,27,123,425,408,119,19
1991,Falkirk,"1,932",3,165,507,745,399,102,11
1991,Fife,"4,388",3,419,"1,175","1,636",876,239,40
1991,Glasgow City,"9,027",4,913,"2,468","3,097","1,840",605,100
1991,Highland,"2,657",3,191,687,929,611,198,38
1991,Inverclyde,"1,185",0,124,296,421,255,75,14
1991,Midlothian,"1,080",0,64,247,461,225,75,8
1991,Moray,"1,162",0,101,342,418,205,76,20
1991,Na h Eileanan Siar,329,0,23,79,105,86,31,5
1991,North Ayrshire,"1,931",46,176,545,679,351,120,14
1991,North Lanarkshire,"4,482",10,424,"1,213","1,659",893,250,33
1991,Orkney Islands,237,0,16,57,88,53,15,8
1991,Perth and Kinross,"1,554",2,101,385,581,354,115,16
1991,Renfrewshire,"2,219",3,158,525,783,566,165,19
1991,Scottish Borders,"1,259",4,88,278,477,316,86,10
1991,Shetland Islands,324,1,22,93,109,73,25,1
1991,South Ayrshire,"1,230",3,129,267,403,315,97,16
1991,South Lanarkshire,"4,050",5,328,974,"1,512",927,271,33
1991,Stirling,971,0,80,251,321,240,64,15
1991,West Dunbartonshire,"1,277",1,121,332,468,270,72,13
1991,West Lothian,"2,094",0,179,526,804,453,117,15
1992,Scotland,"65,789",60,"5,206","15,405","23,571","15,973","4,877",697
1992,Aberdeen City,"2,662",1,207,619,906,698,204,27
1992,Aberdeenshire,"3,021",2,150,640,"1,149",800,241,39
1992,Angus,"1,373",0,95,353,513,291,101,20
1992,Argyll and Bute,"1,118",2,65,245,412,283,97,14
1992,City of Edinburgh,"5,477",2,319,998,"1,911","1,602",571,74
1992,Clackmannanshire,679,0,56,175,266,141,37,4
1992,Dumfries and Galloway,"1,751",6,148,445,655,361,117,19
1992,Dundee City,"1,982",0,211,576,651,413,116,15
1992,East Ayrshire,"1,659",2,184,420,606,335,101,11
1992,East Dunbartonshire,"1,266",0,54,165,437,450,146,14
1992,East Lothian,"1,147",2,57,242,436,297,99,14
1992,East Renfrewshire,"1,131",1,29,124,398,439,122,18
1992,Falkirk,"1,842",0,139,456,707,410,114,16
1992,Fife,"4,306",8,385,"1,118","1,573",919,265,38
1992,Glasgow City,"8,734",5,871,"2,262","2,865","2,029",609,93
1992,Highland,"2,694",3,200,634,993,587,237,40
1992,Inverclyde,"1,157",0,118,285,419,234,93,8
1992,Midlothian,"1,077",1,77,255,402,258,74,10
1992,Moray,"1,166",0,103,313,459,218,62,11
1992,Na h Eileanan Siar,332,0,34,65,107,87,28,11
1992,North Ayrshire,"1,797",5,178,512,621,359,101,21
1992,North Lanarkshire,"4,342",5,408,"1,089","1,537","1,016",250,37
1992,Orkney Islands,239,0,16,51,92,58,18,4
1992,Perth and Kinross,"1,523",6,101,307,544,414,134,17
1992,Renfrewshire,"2,299",2,192,477,818,627,168,15
