year,age_group,scotpop,homeless,deaths
2017,15 to 24,640600,7354,7
2017,25 to 34,702418,9542,30
2017,35 to 64,2175629,11879,115
2017,65+,567731,609,12
2018,15 to 24,633413,7250,6
2018,25 to 34,702736,9993,30
2018,35 to 64,2175817,12372,151
2018,65+,574899,653,8
2019,15 to 24,630505,7359,16
2019,25 to 34,704009,10423,49
2019,35 to 64,2178901,13027,142
2019,65+,582828,772,9
2020,15 to 24,628936,7036,24
2020,25 to 34,696540,9054,50
2020,35 to 64,2178234,10974,171
2020,65+,592350,507,11
2021,15 to 24,628732,6643,17
2021,25 to 34,690462,9296,56
2021,35 to 64,2178308,12239,160
2021,65+,602526,704,17
2022,15 to 24,639727,7015,12
2022,25 to 34,695006,9918,37
2022,35 to 64,2181998,14340,181
2022,65+,599493,969,14
2023,15 to 24,651121,7360,12
2023,25 to 34,709695,10550,32
2023,35 to 64,2192407,14740,179
2023,65+,603839,970,20
2024,15 to 24,654683,7605,11
2024,25 to 34,722509,10325,40
2024,35 to 64,2196080,15110,149
2024,65+,611422,1030,31
