year,age,sex,n,deaths
1981,0,Females,33266,345
1981,0,Males,35263,435
1981,1,Females,32581,23
1981,1,Males,34142,23
1981,2,Females,30995,12
1981,2,Males,33070,17
1981,3,Females,29205,5
1981,3,Males,30363,17
1981,4,Females,28643,6
1981,4,Males,30380,14
1981,5,Females,31299,8
1981,5,Males,33216,15
1981,6,Females,32077,7
1981,6,Males,33496,13
1981,7,Females,32738,6
1981,7,Males,34533,5
1981,8,Females,35159,6
1981,8,Males,37219,7
1981,9,Females,38287,8
1981,9,Males,39689,10
1981,10,Females,40381,7
1981,10,Males,42488,14
1981,11,Females,40762,7
1981,11,Males,42650,16
1981,12,Females,42130,6
1981,12,Males,44582,14
1981,13,Females,43476,11
1981,13,Males,45545,10
1981,14,Females,43879,12
1981,14,Males,46819,12
1981,15,Females,43894,13
1981,15,Males,46229,27
1981,16,Females,46361,8
1981,16,Males,48685,26
1981,17,Females,45919,15
1981,17,Males,47385,49
1981,18,Females,44822,16
1981,18,Males,46227,59
1981,19,Females,44173,16
1981,19,Males,45619,47
1981,20,Females,43551,18
1981,20,Males,44538,59
1981,21,Females,42042,15
1981,21,Males,43882,53
1981,22,Females,41338,12
1981,22,Males,42370,45
1981,23,Females,39828,13
1981,23,Males,40591,44
1981,24,Females,38152,11
1981,24,Males,39140,49
1981,25,Females,36938,16
1981,25,Males,38160,46
1981,26,Females,35674,16
1981,26,Males,36135,48
1981,27,Females,35386,22
1981,27,Males,35827,38
1981,28,Females,34628,12
1981,28,Males,35202,29
1981,29,Females,33546,16
1981,29,Males,33821,42
1981,30,Females,34373,27
1981,30,Males,34815,44
1981,31,Females,34566,16
1981,31,Males,35130,35
1981,32,Females,35848,23
1981,32,Males,36297,44
1981,33,Females,37513,32
1981,33,Males,37814,45
1981,34,Females,40860,33
1981,34,Males,41185,68
1981,35,Females,31690,21
1981,35,Males,31863,45
1981,36,Females,30464,32
1981,36,Males,30567,59
1981,37,Females,31699,31
1981,37,Males,31809,66
1981,38,Females,31623,37
1981,38,Males,31090,58
1981,39,Females,30073,42
1981,39,Males,29290,73
1981,40,Females,28733,44
1981,40,Males,27789,80
1981,41,Females,30091,45
1981,41,Males,28926,101
1981,42,Females,30063,63
1981,42,Males,29120,106
